Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
ACO 2700;;ZWCL 0001+0148;Cluster of Galaxies;Pisces;"00h 03' 50""""";"02º 03' 59""""";;16' x 16';;;"00h 05' 07""""";"02º 12' 24"""""
BARNARD 326;;;Dark Nebula;Aquila;"19h 03' 00""""";"-00º 24' 00""""";;16' x 6';;;"19h 04' 18""""";"-00º 21' 42"""""
NGC 2319;;;Asterism;Monoceros;"07h 00' 32""""";"03º 02' 36""""";;16';;;"07h 01' 51""""";"03º 00' 23"""""
BARNARD 321;;;Dark Nebula;Scutum;"18h 54' 00""""";"-11º 17' 00""""";;15' x 15';;;"18h 55' 24""""";"-11º 15' 01"""""
LBN 467;;LBN 102.50-25.55;HII Region;Pegasus;"23h 22' 00""""";"33º 48' 00""""";;15' x 5';;;"23h 23' 14""""";"33º 56' 18"""""
LBN 559;;LBN 113.87-12.30;HII Region;Cassiopeia;"23h 57' 00""""";"49º 36' 00""""";;15' x 10';;;"23h 58' 17""""";"49º 44' 25"""""
LBN 969;;LBN 208.43-22.08;HII Region;Orion;"05h 24' 00""""";"-06º 12' 00""""";;15' x 15';;;"05h 25' 14""""";"-06º 10' 42"""""
LDN 596;;;Dark Nebula;Aquila;"18h 48' 12""""";"00º 13' 00""""";;15' x 15';;;"18h 49' 29""""";"00º 14' 47"""""
LDN 634;;;Dark Nebula;Ophiuchus;"18h 41' 24""""";"07º 33' 00""""";;15' x 15';;;"18h 42' 37""""";"07º 34' 32"""""
LDN 648;;;Dark Nebula;Hercules;"18h 39' 33""""";"12º 45' 00""""";;15' x 7';;;"18h 40' 43""""";"12º 46' 28"""""
LDN 691;;;Dark Nebula;Aquila;"19h 29' 18""""";"11º 56' 00""""";;15' x 15';;;"19h 30' 29""""";"11º 59' 13"""""
ACO 1663;;;Cluster of Galaxies;Virgo;"13h 02' 53""""";"-02º 31' 04""""";;15' x 15';;;"13h 04' 10""""";"-02º 39' 09"""""
ACO 1750;;;Cluster of Galaxies;Virgo;"13h 30' 50""""";"-01º 51' 27""""";;15' x 15';;;"13h 32' 08""""";"-01º 59' 12"""""
LDN 1135;;;Dark Nebula;Cepheus;"21h 39' 24""""";"60º 39' 00""""";;14' x 14';;;"21h 40' 07""""";"60º 45' 53"""""
LDN 566;;;Dark Nebula;Aquila;"18h 50' 36""""";"-02º 46' 00""""";;14' x 14';;;"18h 51' 55""""";"-02º 44' 08"""""
LDN 682;;;Dark Nebula;Aquila;"19h 28' 54""""";"10º 56' 00""""";;14' x 14';;;"19h 30' 05""""";"10º 59' 12"""""
LDN 826;;;Dark Nebula;Cygnus;"19h 48' 54""""";"33º 33' 00""""";;14' x 14';;;"19h 49' 52""""";"33º 36' 52"""""
LDN 990;;;Dark Nebula;Cygnus;"20h 58' 54""""";"51º 17' 00""""";;14' x 14';;;"20h 59' 42""""";"51º 22' 56"""""
ACO 2261;;;Cluster of Galaxies;Hercules;"17h 22' 28""""";"32º 09' 13""""";;14' x 14';;;"17h 23' 25""""";"32º 07' 52"""""
ACO 383;;;Cluster of Galaxies;Eridanus;"02h 48' 03""""";"-03º 31' 45""""";;13' x 13';;;"02h 49' 19""""";"-03º 25' 31"""""
BARNARD 366;;LDN 1131;Dark Nebula;Cepheus;"21h 40' 12""""";"59º 35' 00""""";;13' x 13';;;"21h 40' 57""""";"59º 41' 54"""""
LDN 1013;;;Dark Nebula;Cygnus;"21h 00' 30""""";"53º 22' 00""""";;13' x 13';;;"21h 01' 16""""";"53º 27' 58"""""
LDN 1108;;;Dark Nebula;Cepheus;"21h 26' 24""""";"59º 33' 00""""";;13' x 13';;;"21h 27' 06""""";"59º 39' 36"""""
LDN 449;;;Dark Nebula;Scutum;"18h 51' 48""""";"-11º 06' 00""""";;13' x 13';;;"18h 53' 12""""";"-11º 04' 05"""""
LDN 499;;;Dark Nebula;Scutum;"18h 40' 42""""";"-06º 27' 00""""";;13' x 13';;;"18h 42' 03""""";"-06º 25' 29"""""
LDN 510;;;Dark Nebula;Serpens;"18h 14' 36""""";"-02º 14' 00""""";;13' x 13';;;"18h 15' 55""""";"-02º 13' 26"""""
LDN 560;;;Dark Nebula;Aquila;"18h 41' 36""""";"-01º 57' 00""""";;13' x 13';;;"18h 42' 55""""";"-01º 55' 27"""""
LDN 650;;;Dark Nebula;Hercules;"18h 39' 48""""";"13º 03' 00""""";;13' x 13';;;"18h 40' 58""""";"13º 04' 28"""""
LDN 742;;;Dark Nebula;Vulpecula;"19h 33' 12""""";"19º 37' 00""""";;13' x 13';;;"19h 34' 18""""";"19º 40' 21"""""
ZWCL 1370;;ZWCL 330-2,ZWCL 331-3,ZWCL 349-12,ZWCL 0735+7421;Cluster of Galaxies;Camelopardalis;"07h 41' 40""""";"74º 14' 58""""";;13' x 13';;;"07h 44' 45""""";"74º 11' 18"""""
ACO 1836;;;Cluster of Galaxies;Virgo;"14h 01' 42""""";"-11º 36' 20""""";;12' x 12';;;"14h 03' 03""""";"-11º 43' 34"""""
ACO 2034;;ZWCL 7307;Cluster of Galaxies;Boötes;"15h 10' 13""""";"33º 29' 53""""";;12' x 12';;;"15h 11' 14""""";"33º 24' 13"""""
LDN 1032;;;Dark Nebula;Cygnus;"21h 03' 30""""";"54º 07' 00""""";;12' x 12';;;"21h 04' 15""""";"54º 13' 03"""""
LDN 1056;;;Dark Nebula;Cepheus;"20h 58' 24""""";"56º 02' 00""""";;12' x 12';;;"20h 59' 06""""";"56º 07' 55"""""
LDN 1197;;;Dark Nebula;Cepheus;"22h 37' 20""""";"58º 56' 06""""";;12' x 6';;;"22h 38' 18""""";"59º 03' 59"""""
LDN 462;;;Dark Nebula;Serpens;"18h 07' 33""""";"-04º 41' 42""""";;12' x 12';;;"18h 08' 53""""";"-04º 41' 24"""""
LDN 685;;;Dark Nebula;Aquila;"19h 29' 54""""";"11º 26' 00""""";;12' x 12';;;"19h 31' 05""""";"11º 29' 14"""""
LDN 765;;;Dark Nebula;Vulpecula;"19h 44' 12""""";"20º 17' 00""""";;12' x 12';;;"19h 45' 18""""";"20º 20' 43"""""
LDN 801;;;Dark Nebula;Vulpecula;"20h 03' 24""""";"24º 19' 00""""";;12' x 12';;;"20h 04' 28""""";"24º 23' 20"""""
ZWCL 47;;ZWCL 0008+5215;Cluster of Galaxies;Cassiopeia;"00h 11' 37""""";"52º 32' 32""""";;12' x 12';;;"00h 12' 57""""";"52º 40' 56"""""
LBN 936;;LBN 205.03-00.87;HII Region;Monoceros;"06h 34' 00""""";"06º 42' 00""""";;11' x 5';;;"06h 35' 21""""";"06º 40' 44"""""
LDN 472;;;Dark Nebula;Serpens;"18h 14' 12""""";"-04º 59' 00""""";;11' x 11';;;"18h 15' 32""""";"-04º 58' 27"""""
LDN 586;;;Dark Nebula;Serpens;"18h 39' 06""""";"00º 03' 00""""";;11' x 11';;;"18h 40' 23""""";"00º 04' 27"""""
LDN 614;;;Dark Nebula;Aquila;"18h 56' 48""""";"-00º 21' 00""""";;11' x 11';;;"18h 58' 06""""";"-00º 18' 55"""""
ZWCL 2102;;ZWCL 0859-0130;Cluster of Galaxies;Hydra;"09h 01' 29""""";"-01º 39' 30""""";;11' x 11';;;"09h 02' 46""""";"-01º 45' 30"""""
ACO 665;;ZWCL 311-31;Cluster of Galaxies;Ursa Major;"08h 30' 45""""";"65º 52' 55""""";;10' x 10';;;"08h 33' 02""""";"65º 47' 44"""""
LBN 716;;LBN 154.40-16.40;HII Region;Perseus;"03h 26' 00""""";"36º 54' 00""""";;10' x 8';;;"03h 27' 37""""";"36º 59' 13"""""
LBN 87;;LBN 027.43-17.71;HII Region;Sagittarius;"19h 46' 00""""";"-12º 42' 00""""";;10' x 8';;;"19h 47' 24""""";"-12º 38' 13"""""
LBN 907;;LBN 202.59-22.31;HII Region;Orion;"05h 14' 00""""";"-01º 24' 00""""";;10' x 8';;;"05h 15' 17""""";"-01º 22' 21"""""
LBN 992;;LBN 213.43-19.98;Reflection Nebula;Orion;"05h 40' 00""""";"-09º 24' 00""""";;10' x 5';;;"05h 41' 12""""";"-09º 23' 17"""""
LDN 289;;;Dark Nebula;Sagittarius;"18h 00' 54""""";"-18º 50' 00""""";;10' x 10';;;"18h 02' 23""""";"-18º 49' 56"""""
LDN 326;;;Dark Nebula;Serpens;"17h 49' 48""""";"-14º 26' 00""""";;10' x 10';;;"17h 51' 14""""";"-14º 26' 21"""""
LDN 351;;;Dark Nebula;Sagittarius;"18h 23' 54""""";"-17º 13' 00""""";;10' x 10';;;"18h 25' 22""""";"-17º 12' 06"""""
LDN 354;;;Dark Nebula;Sagittarius;"18h 24' 54""""";"-17º 15' 00""""";;10' x 10';;;"18h 26' 22""""";"-17º 14' 04"""""
LDN 448;;;Dark Nebula;Scutum;"18h 36' 42""""";"-09º 17' 00""""";;10' x 10';;;"18h 38' 05""""";"-09º 15' 38"""""
LDN 535;;;Dark Nebula;Serpens;"18h 37' 06""""";"-02º 53' 00""""";;10' x 10';;;"18h 38' 25""""";"-02º 51' 37"""""
LDN 554;;;Dark Nebula;Aquila;"19h 08' 06""""";"-05º 40' 00""""";;10' x 10';;;"19h 09' 27""""";"-05º 37' 31"""""
LDN 637;;;Dark Nebula;Ophiuchus;"18h 41' 00""""";"08º 06' 00""""";;10' x 10';;;"18h 42' 13""""";"08º 07' 31"""""
LDN 726;;;Dark Nebula;Aquila;"19h 46' 18""""";"15º 57' 00""""";;10' x 10';;;"19h 47' 27""""";"16º 00' 47"""""
ZWCL 3038;;;Cluster of Galaxies;Sextans;"10h 17' 47""""";"-00º 03' 45""""";;9.2' x 9.2';;;"10h 19' 04""""";"-00º 11' 21"""""
BARNARD 126;;LDN 556;Dark Nebula;Aquila;"18h 59' 06""""";"-04º 31' 00""""";;9' x 5.5';;;"19h 00' 26""""";"-04º 28' 50"""""
LDN 501;;;Dark Nebula;Serpens;"18h 17' 36""""";"-03º 19' 00""""";;9' x 9';;;"18h 18' 55""""";"-03º 18' 20"""""
LDN 553;;;Dark Nebula;Aquila;"19h 03' 00""""";"-05º 00' 00""""";;9' x 9';;;"19h 04' 20""""";"-04º 57' 42"""""
LDN 631;;;Dark Nebula;Aquila;"19h 12' 30""""";"02º 35' 00""""";;9' x 9';;;"19h 13' 46""""";"02º 37' 38"""""
LDN 699;;;Dark Nebula;Aquila;"19h 29' 18""""";"12º 46' 00""""";;9' x 9';;;"19h 30' 28""""";"12º 49' 13"""""
LDN 703;;;Dark Nebula;Aquila;"19h 47' 36""""";"10º 50' 00""""";;9' x 9';;;"19h 48' 48""""";"10º 53' 50"""""
LDN 828;;;Dark Nebula;Cygnus;"19h 50' 54""""";"33º 33' 00""""";;9' x 9';;;"19h 51' 52""""";"33º 36' 56"""""
LDN 844;;;Dark Nebula;Cygnus;"20h 30' 24""""";"30º 40' 00""""";;9' x 9';;;"20h 31' 26""""";"30º 45' 09"""""
LDN 851;;;Dark Nebula;Cygnus;"20h 30' 18""""";"31º 40' 00""""";;9' x 9';;;"20h 31' 19""""";"31º 45' 09"""""
LDN 887;;;Dark Nebula;Cygnus;"20h 03' 42""""";"42º 29' 00""""";;9' x 9';;;"20h 04' 33""""";"42º 33' 20"""""
NGC 2063;;;Asterism;Orion;"05h 46' 44""""";"08º 42' 50""""";;9';;;"05h 48' 07""""";"08º 43' 18"""""
LBN 121;;LBN 044.84-23.61;HII Region;Aquila;"20h 37' 00""""";"-00º 48' 00""""";;1.2º x 3';;;"20h 38' 18""""";"-00º 42' 40"""""
LBN 1016;;LBN 219.49-17.81;HII Region;Lepus;"05h 58' 00""""";"-13º 42' 00""""";;1.1º x 35';;;"05h 59' 09""""";"-13º 41' 57"""""
LDN 1629;;;Dark Nebula;Orion;"06h 09' 36""""";"02º 29' 00""""";;1.1º x 1.1º;;;"06h 10' 55""""";"02º 28' 37"""""
LDN 1652;;;Dark Nebula;Monoceros;"06h 26' 24""""";"-10º 02' 00""""";;1.1º x 1.1º;;;"06h 27' 36""""";"-10º 02' 59"""""
BARNARD 140;;;Dark Nebula;Aquila;"19h 19' 48""""";"05º 13' 00""""";;1º;;;"19h 21' 03""""";"05º 15' 53"""""
LBN 484;;LBN 103.57-30.89;HII Region;Pegasus;"23h 35' 00""""";"29º 06' 00""""";;1º x 40';;;"23h 36' 15""""";"29º 14' 22"""""
LBN 556;;LBN 113.49-42.39;HII Region;Pisces;"00h 22' 00""""";"20º 00' 00""""";;1º x 10';;;"00h 23' 19""""";"20º 08' 22"""""
BARNARD 331;;;Dark Nebula;Aquila;"19h 26' 00""""";"07º 36' 00""""";;45' x 45';;;"19h 27' 13""""";"07º 39' 06"""""
LDN 447;;;Dark Nebula;Serpens;"18h 15' 42""""";"-06º 39' 00""""";;44' x 44';;;"18h 17' 03""""";"-06º 38' 24"""""
LBN 122;;LBN 044.95-20.39;HII Region;Aquila;"20h 26' 00""""";"00º 54' 00""""";;42' x 12';;;"20h 27' 17""""";"00º 59' 01"""""
BARNARD 332;;;Dark Nebula;Aquila;"19h 28' 00""""";"08º 48' 00""""";;40' x 40';;;"19h 29' 13""""";"08º 51' 10"""""
LDN 270;;;Dark Nebula;Sagittarius;"17h 48' 54""""";"-18º 21' 00""""";;40' x 40';;;"17h 50' 23""""";"-18º 21' 23"""""
LDN 395;;;Dark Nebula;Scutum;"18h 38' 48""""";"-14º 07' 00""""";;39' x 39';;;"18h 40' 14""""";"-14º 05' 33"""""
LDN 373;;;Dark Nebula;Ophiuchus;"17h 25' 42""""";"-07º 03' 00""""";;38' x 38';;;"17h 27' 04""""";"-07º 04' 14"""""
LDN 391;;;Dark Nebula;Ophiuchus;"17h 15' 36""""";"-03º 03' 00""""";;38' x 38';;;"17h 16' 55""""";"-03º 04' 36"""""
LDN 428;;;Dark Nebula;Ophiuchus;"17h 47' 36""""";"-04º 31' 00""""";;37' x 37';;;"17h 48' 56""""";"-04º 31' 26"""""
LBN 115;;LBN 042.75-21.54;HII Region;Aquila;"20h 26' 00""""";"-01º 30' 00""""";;35' x 10';;;"20h 27' 18""""";"-01º 24' 59"""""
LDN 397;;;Dark Nebula;Ophiuchus;"18h 02' 42""""";"-09º 20' 00""""";;32' x 32';;;"18h 04' 05""""";"-09º 19' 53"""""
LDN 261;;;Dark Nebula;Ophiuchus;"17h 35' 54""""";"-17º 12' 00""""";;31' x 31';;;"17h 37' 22""""";"-17º 12' 51"""""
LBN 1007;;LBN 215.65-21.24;HII Region;Lepus;"05h 39' 00""""";"-11º 48' 00""""";;30' x 15';;;"05h 40' 10""""";"-11º 47' 15"""""
LBN 711;;LBN 152.38-37.68;HII Region;Aries;"02h 29' 00""""";"19º 30' 00""""";;30' x 10';;;"02h 30' 25""""";"19º 36' 41"""""
LBN 892;;LBN 200.20-16.15;HII Region;Orion;"05h 31' 00""""";"03º 30' 00""""";;30' x 8';;;"05h 32' 19""""";"03º 31' 02"""""
LDN 382;;;Dark Nebula;Ophiuchus;"17h 47' 44""""";"-09º 01' 00""""";;28' x 28';;;"17h 49' 07""""";"-09º 01' 25"""""
LDN 258;;;Dark Nebula;Sagittarius;"17h 44' 54""""";"-18º 51' 00""""";;26' x 26';;;"17h 46' 23""""";"-18º 51' 32"""""
IC 1314;;;Asterism;Vulpecula;"20h 17' 47""""";"25º 05' 48""""";;25';;;"20h 18' 51""""";"25º 10' 34"""""
LBN 530;;LBN 110.24-41.26;HII Region;Pegasus;"00h 11' 00""""";"20º 36' 00""""";;25' x 12';;;"00h 12' 18""""";"20º 44' 24"""""
LDN 439;;;Dark Nebula;Ophiuchus;"17h 59' 42""""";"-05º 00' 00""""";;25' x 25';;;"18h 01' 02""""";"-04º 59' 59"""""
LDN 670;;;Dark Nebula;Aquila;"19h 42' 24""""";"07º 37' 00""""";;25' x 25';;;"19h 43' 37""""";"07º 40' 39"""""
LDN 287;;;Dark Nebula;Serpens;"17h 22' 48""""";"-13º 23' 00""""";;24' x 24';;;"17h 24' 13""""";"-13º 24' 20"""""
LDN 418;;;Dark Nebula;Serpens;"18h 14' 42""""";"-09º 09' 00""""";;24' x 24';;;"18h 16' 05""""";"-09º 08' 26"""""
LDN 437;;;Dark Nebula;Serpens;"18h 20' 13""""";"-07º 58' 36""""";;24' x 24';;;"18h 21' 35""""";"-07º 57' 50"""""
LDN 264;;;Dark Nebula;Sagittarius;"17h 48' 54""""";"-18º 51' 00""""";;23' x 23';;;"17h 50' 23""""";"-18º 51' 23"""""
LBN 188;;LBN 073.75-51.32;HII Region;Pisces;"22h 59' 00""""";"00º 06' 00""""";;22' x 12';;;"23h 00' 17""""";"00º 14' 07"""""
LBN 671;;LBN 137.50-10.06;HII Region;Andromeda;"02h 22' 00""""";"50º 12' 00""""";;22' x 7';;;"02h 23' 41""""";"50º 18' 50"""""
LDN 424;;;Dark Nebula;Serpens;"18h 14' 42""""";"-08º 29' 00""""";;22' x 22';;;"18h 16' 04""""";"-08º 28' 26"""""
ACO 85;;H 0039-096;Cluster of Galaxies;Cetus;"00h 41' 36""""";"-09º 19' 30""""";;22' x 22';;;"00h 42' 53""""";"-09º 11' 14"""""
LDN 375;;;Dark Nebula;Serpens;"18h 08' 48""""";"-12º 59' 00""""";;21' x 21';;;"18h 10' 13""""";"-12º 58' 39"""""
LDN 461;;;Dark Nebula;Serpens;"18h 09' 42""""";"-05º 09' 00""""";;21' x 21';;;"18h 11' 02""""";"-05º 08' 37"""""
ACO 2670;;;Cluster of Galaxies;Aquarius;"23h 54' 11""""";"-10º 23' 07""""";;20' x 20';;;"23h 55' 28""""";"-10º 14' 42"""""
LBN 163;;LBN 071.01+00.04;HII Region;Cygnus;"20h 10' 00""""";"33º 18' 00""""";;20' x 10';;;"20h 10' 59""""";"33º 22' 32"""""
LBN 296;;LBN 081.01-05.94;HII Region;Cygnus;"21h 03' 00""""";"37º 42' 00""""";;20' x 10';;;"21h 03' 59""""";"37º 48' 02"""""
LDN 419;;;Dark Nebula;Serpens;"18h 12' 42""""";"-08º 39' 00""""";;20' x 20';;;"18h 14' 05""""";"-08º 38' 31"""""
BARNARD 141;;;Dark Nebula;Aquila;"19h 20' 12""""";"01º 53' 00""""";;18' x 18';;;"19h 21' 28""""";"01º 55' 54"""""
BARNARD 165;;;Dark Nebula;Cepheus;"21h 48' 54""""";"60º 12' 00""""";;18' x 3';;;"21h 49' 40""""";"60º 19' 05"""""
LBN 50;;LBN 012.79+01.78;HII Region;Sagittarius;"18h 07' 00""""";"-17º 00' 00""""";;18' x 5';;;"18h 08' 28""""";"-16º 59' 43"""""
LDN 225;;;Dark Nebula;Ophiuchus;"17h 32' 54""""";"-18º 32' 00""""";;18' x 18';;;"17h 34' 23""""";"-18º 32' 58"""""
LDN 355;;;Dark Nebula;Serpens;"17h 51' 48""""";"-12º 41' 00""""";;16' x 16';;;"17h 53' 13""""";"-12º 41' 16"""""
BARNARD 285;;;Dark Nebula;Serpens;"17h 51' 30""""";"-12º 52' 00""""";;15' x 15';;;"17h 52' 55""""";"-12º 52' 17"""""
LBN 295;;LBN 080.96-03.64;HII Region;Cygnus;"20h 54' 00""""";"39º 12' 00""""";;15' x 8';;;"20h 54' 58""""";"39º 17' 48"""""
LBN 856;;LBN 191.43-52.20;HII Region;Eridanus;"03h 12' 00""""";"-09º 12' 00""""";;15' x 15';;;"03h 13' 13""""";"-09º 06' 23"""""
LDN 471;;;Dark Nebula;Serpens;"18h 19' 42""""";"-05º 49' 00""""";;14' x 14';;;"18h 21' 03""""";"-05º 48' 15"""""
LDN 595;;;Dark Nebula;Aquila;"19h 45' 42""""";"-07º 23' 00""""";;14' x 14';;;"19h 47' 03""""";"-07º 19' 14"""""
ACO 329;;;Cluster of Galaxies;Cetus;"02h 14' 41""""";"-04º 33' 22""""";;13' x 13';;;"02h 15' 57""""";"-04º 26' 23"""""
ACO 278;;ZWCL 503-3;Cluster of Galaxies;Triangulum;"01h 57' 16""""";"32º 14' 47""""";;13' x 13';;;"01h 58' 44""""";"32º 22' 06"""""
ACO 115;;ZWCL 292,ZWCL 480-18,ZWCL 0053+2604;Cluster of Galaxies;Pisces;"00h 55' 59""""";"26º 19' 14""""";;13' x 13';;;"00h 57' 21""""";"26º 27' 23"""""
ACO 2355;;;Cluster of Galaxies;Aquarius;"21h 35' 19""""";"01º 25' 27""""";;13' x 13';;;"21h 36' 36""""";"01º 32' 15"""""
LBN 256;;LBN 079.22-06.69;HII Region;Cygnus;"21h 00' 00""""";"35º 54' 00""""";;12' x 2';;;"21h 01' 00""""";"35º 59' 58"""""
LBN 266;;LBN 079.66-06.31;HII Region;Cygnus;"21h 00' 00""""";"36º 24' 00""""";;12' x 2';;;"21h 01' 00""""";"36º 29' 58"""""
LBN 286;;LBN 080.45+01.07;HII Region;Cygnus;"20h 33' 00""""";"41º 42' 00""""";;12' x 3';;;"20h 33' 54""""";"41º 47' 13"""""
LDN 276;;;Dark Nebula;Sagittarius;"17h 43' 54""""";"-17º 21' 00""""";;12' x 12';;;"17h 45' 22""""";"-17º 21' 34"""""
LDN 319;;;Dark Nebula;Sagittarius;"18h 01' 54""""";"-16º 50' 00""""";;12' x 12';;;"18h 03' 22""""";"-16º 49' 54"""""
ACO 2163;;;Cluster of Galaxies;Ophiuchus;"16h 15' 34""""";"-06º 07' 26""""";;11' x 11';;;"16h 16' 55""""";"-06º 11' 07"""""
BARNARD 338;;LDN 668;Dark Nebula;Aquila;"19h 43' 24""""";"07º 22' 00""""";;11' x 11';;;"19h 44' 38""""";"07º 25' 41"""""
LDN 338;;;Dark Nebula;Serpens;"17h 55' 54""""";"-14º 30' 00""""";;11' x 11';;;"17h 57' 20""""";"-14º 30' 07"""""
LDN 340;;;Dark Nebula;Serpens;"17h 58' 54""""";"-14º 36' 00""""";;11' x 11';;;"18h 00' 20""""";"-14º 36' 01"""""
LDN 400;;;Dark Nebula;Ophiuchus;"17h 55' 31""""";"-08º 15' 24""""";;11' x 5';;;"17h 56' 53""""";"-08º 15' 32"""""
ACO 152;;;Cluster of Galaxies;Pisces;"01h 10' 09""""";"14º 00' 34""""";;11' x 11';;;"01h 11' 29""""";"14º 08' 35"""""
LDN 392;;;Dark Nebula;Ophiuchus;"17h 53' 05""""";"-08º 33' 41""""";;10' x 6';;;"17h 54' 28""""";"-08º 33' 55"""""
LDN 436;;;Dark Nebula;Serpens;"18h 14' 37""""";"-07º 22' 12""""";;10' x 10';;;"18h 15' 59""""";"-07º 21' 38"""""
LBN 238;;LBN 078.05+05.74;HII Region;Cygnus;"20h 05' 00""""";"42º 18' 00""""";;10' x 10';;;"20h 05' 51""""";"42º 22' 23"""""
LBN 291;;LBN 080.67-04.92;HII Region;Cygnus;"20h 58' 00""""";"38º 06' 00""""";;10' x 8';;;"20h 58' 59""""";"38º 11' 54"""""
LBN 444;;LBN 097.80+15.26;HII Region;Draco;"20h 19' 00""""";"63º 54' 00""""";;10' x 10';;;"20h 19' 21""""";"63º 58' 48"""""
LBN 447;;LBN 098.01+15.90;HII Region;Draco;"20h 15' 00""""";"64º 24' 00""""";;10' x 3';;;"20h 15' 19""""";"64º 28' 41"""""
LDN 348;;;Dark Nebula;Serpens;"18h 09' 54""""";"-15º 39' 00""""";;10' x 10';;;"18h 11' 21""""";"-15º 38' 37"""""
LDN 475;;;Dark Nebula;Serpens;"18h 19' 12""""";"-05º 29' 00""""";;10' x 10';;;"18h 20' 33""""";"-05º 28' 16"""""
ACO 2537;;ZWCL 8844;Cluster of Galaxies;Pisces;"23h 08' 22""""";"-02º 11' 29""""";;9.5' x 9.5';;;"23h 09' 40""""";"-02º 03' 17"""""
ACO 412;;;Cluster of Galaxies;Cetus;"03h 06' 33""""";"-00º 05' 47""""";;9.3' x 9.3';;;"03h 07' 51""""";"-00º 00' 01"""""
LBN 613;;LBN 122.71-12.11;Molecular Cloud;Cassiopeia;"00h 49' 29""""";"50º 44' 36""""";;9' x 3.5';;;"00h 50' 55""""";"50º 52' 49"""""
LDN 337;;;Dark Nebula;Serpens;"17h 57' 54""""";"-14º 51' 00""""";;9' x 9';;;"17h 59' 20""""";"-14º 51' 03"""""
Veil Nebula;Veil Nebula;;Supernova Remnant;Cygnus;"20h 53' 04""""";"31º 13' 00""""";7.0;3º;45926;;"20h 54' 07""""";"31º 18' 47"""""
Markarian Chain;Markarian Chain;;Group of Galaxies;Virgo;"12h 28' 04""""";"13º 10' 34""""";10.kwi;1.5º;45897;;"12h 29' 21""""";"13º 02' 13"""""
Gamma Cassiopeiae Nebula;Gamma Cassiopeiae Nebula;;Reflection Nebula;Cassiopeia;"00h 58' 30""""";"61º 02' 00""""";;20' x 15';;;"01h 00' 03""""";"61º 10' 08"""""
LBN 118;;LBN 043.39-29.49;HII Region;Aquarius;"20h 55' 00""""";"-04º 48' 00""""";;1.5º x 15';;;"20h 56' 19""""";"-04º 42' 10"""""
LBN 870;;LBN 194.85-48.90;HII Region;Eridanus;"03h 28' 00""""";"-09º 18' 00""""";;1.1º x 2';;;"03h 29' 13""""";"-09º 12' 50"""""
LBN 714;;LBN 153.32-08.88;HII Region;Perseus;"03h 45' 00""""";"43º 30' 00""""";;1º x 30';;;"03h 46' 44""""";"43º 34' 39"""""
LBN 431;;LBN 095.40-31.87;HII Region;Pegasus;"23h 08' 00""""";"25º 30' 00""""";;50' x 8';;;"23h 09' 14""""";"25º 38' 12"""""
LBN 820;;LBN 178.55-53.38;HII Region;Eridanus;"02h 50' 00""""";"-03º 48' 00""""";;40' x 8';;;"02h 51' 16""""";"-03º 41' 49"""""
LBN 120;;LBN 043.96-23.21;HII Region;Aquila;"20h 34' 00""""";"-01º 18' 00""""";;35' x 30';;;"20h 35' 18""""";"-01º 12' 45"""""
BARNARD 324;;;Dark Nebula;Aquila;"18h 59' 24""""";"-02º 59' 00""""";;30' x 30';;;"19h 00' 43""""";"-02º 56' 49"""""
LBN 125;;LBN 046.20-21.45;HII Region;Aquila;"20h 32' 00""""";"01º 24' 00""""";;30' x 5';;;"20h 33' 17""""";"01º 29' 12"""""
LBN 503;;LBN 106.32-20.19;HII Region;Andromeda;"23h 29' 00""""";"40º 00' 00""""";;30' x 4';;;"23h 30' 14""""";"40º 08' 20"""""
LBN 439;;LBN 096.37-28.75;HII Region;Pegasus;"23h 05' 00""""";"28º 36' 00""""";;28' x 6';;;"23h 06' 13""""";"28º 44' 11"""""
BARNARD 317;;;Dark Nebula;Scutum;"18h 45' 48""""";"-14º 12' 00""""";;25' x 12';;;"18h 47' 14""""";"-14º 10' 18"""""
LBN 220;;LBN 076.44-23.42;HII Region;Pegasus;"21h 47' 00""""";"22º 24' 00""""";;25' x 10';;;"21h 48' 10""""";"22º 31' 03"""""
LBN 123;;LBN 045.51-20.67;HII Region;Aquila;"20h 28' 00""""";"01º 12' 00""""";;20' x 10';;;"20h 29' 17""""";"01º 17' 05"""""
LBN 124;;LBN 045.60-22.06;HII Region;Aquila;"20h 33' 00""""";"-00º 12' 00""""";;20' x 15';;;"20h 34' 18""""";"-00º 06' 46"""""
LBN 427;;LBN 094.89-33.71;HII Region;Pegasus;"23h 10' 00""""";"23º 36' 00""""";;20' x 8';;;"23h 11' 14""""";"23º 44' 13"""""
LBN 466;;LBN 102.41-31.06;HII Region;Pegasus;"23h 31' 00""""";"28º 36' 00""""";;20' x 5';;;"23h 32' 15""""";"28º 44' 21"""""
ACO 2426;;;Cluster of Galaxies;Aquarius;"22h 14' 27""""";"-10º 22' 05""""";;18' x 18';;;"22h 15' 47""""";"-10º 14' 32"""""
ACO 2428;;;Cluster of Galaxies;Aquarius;"22h 16' 07""""";"-09º 20' 20""""";;17' x 17';;;"22h 17' 27""""";"-09º 12' 45"""""
