Catalogue Entry;Familiar Name;Alternative Entries;Type;Constellation;Right Ascension (j2000);Declination (j2000);Magnitude;Size;Surface Brightness (mag/arcsec2);Notes;Right Ascension (jNow);Declination (jNow)
LDN 1483;;;Dark Nebula;Perseus;"04h 35' 19""""";"36º 26' 06""""";;28' x 28';;;"04h 37' 00""""";"36º 29' 07"""""
LDN 1036;;IRAS 20377+5658;Nebula;Cygnus;"20h 38' 57""""";"57º 09' 38""""";;26' x 20';;;"20h 39' 35""""";"57º 15' 01"""""
LBN 639;;LBN 131.35-45.88;HII Region;Pisces;"01h 16' 00""""";"16º 36' 00""""";;25' x 8';;;"01h 17' 21""""";"16º 43' 57"""""
LDN 966;;;Dark Nebula;Cygnus;"21h 00' 12""""";"49º 02' 00""""";;25' x 25';;;"21h 01' 02""""";"49º 07' 58"""""
LDN 191;;;Dark Nebula;Ophiuchus;"16h 47' 48""""";"-12º 45' 00""""";;24' x 24';;;"16h 49' 13""""";"-12º 47' 35"""""
ACO 1644;;H 1256-171;Cluster of Galaxies;Virgo;"12h 57' 12""""";"-17º 24' 34""""";;23' x 23';;;"12h 58' 32""""";"-17º 32' 43"""""
LDN 156;;;Dark Nebula;Ophiuchus;"16h 37' 18""""";"-12º 16' 00""""";;21' x 21';;;"16h 38' 42""""";"-12º 18' 57"""""
LBN 676;;LBN 139.57+02.70;HII Region;Cassiopeia;"03h 15' 00""""";"60º 54' 00""""";;20' x 4';;;"03h 17' 03""""";"60º 59' 31"""""
LDN 1480;;;Dark Nebula;Auriga;"05h 05' 36""""";"43º 34' 00""""";;19' x 19';;;"05h 07' 25""""";"43º 35' 57"""""
ZWCL 5029;;ZWCL 41-22,ZWCL 1215+0400;Cluster of Galaxies;Virgo;"12h 17' 44""""";"03º 38' 52""""";;18' x 18';;;"12h 19' 01""""";"03º 30' 28"""""
NGC 2428;;;Open Cluster;Puppis;"07h 39' 19""""";"-16º 33' 00""""";;18' x 18';;;"07h 40' 28""""";"-16º 36' 33"""""
CL RUPRECHT 141;;;Open Cluster;Scutum;"18h 31' 18""""";"-12º 19' 00""""";;16' x 16';;;"18h 32' 43""""";"-12º 17' 50"""""
LBN 928;;LBN 204.24-16.03;Reflection Nebula;Orion;"05h 39' 00""""";"-00º 12' 00""""";;15' x 10';;;"05h 40' 17""""";"-00º 11' 15"""""
NGC 1790;;;Asterism;Auriga;"05h 11' 02""""";"52º 07' 06""""";;15';;;"05h 13' 02""""";"52º 08' 51"""""
